Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
không bứt tốc lắm,Tiêu cực/Nhấn mạnh,Not accelerating very much
không bứt tốc cực kỳ,Tiêu cực/Nhấn mạnh,Not accelerating extremely
không thuận lợi quá,Tiêu cực/Nhấn mạnh,Not favorable too much / extremely
không thuận lợi lắm,Tiêu cực/Nhấn mạnh,Not favorable very much
không thuận lợi cực kỳ,Tiêu cực/Nhấn mạnh,Not favorable extremely
không tiềm năng quá,Tiêu cực/Nhấn mạnh,Not potential too much / extremely
không tiềm năng lắm,Tiêu cực/Nhấn mạnh,Not potential very much
không tiềm năng cực kỳ,Tiêu cực/Nhấn mạnh,Not potential extremely
không phồn vinh quá,Tiêu cực/Nhấn mạnh,Not prosperous too much / extremely
không phồn vinh lắm,Tiêu cực/Nhấn mạnh,Not prosperous very much
không phồn vinh cực kỳ,Tiêu cực/Nhấn mạnh,Not prosperous extremely
không thịnh vượng quá,Tiêu cực/Nhấn mạnh,Not wealthy/prosperous too much / extremely
không thịnh vượng lắm,Tiêu cực/Nhấn mạnh,Not wealthy/prosperous very much
không thịnh vượng cực kỳ,Tiêu cực/Nhấn mạnh,Not wealthy/prosperous extremely
không khởi sắc quá,Tiêu cực/Nhấn mạnh,Not flourishing/improving too much / extremely
không khởi sắc lắm,Tiêu cực/Nhấn mạnh,Not flourishing/improving very much
không khởi sắc cực kỳ,Tiêu cực/Nhấn mạnh,Not flourishing/improving extremely
không thăng tiến quá,Tiêu cực/Nhấn mạnh,Not advancing too much / extremely
không thăng tiến lắm,Tiêu cực/Nhấn mạnh,Not advancing very much
không thăng tiến cực kỳ,Tiêu cực/Nhấn mạnh,Not advancing extremely
không phát triển quá,Tiêu cực/Nhấn mạnh,Not developing too much / extremely
không phát triển lắm,Tiêu cực/Nhấn mạnh,Not developing very much
không phát triển cực kỳ,Tiêu cực/Nhấn mạnh,Not developing extremely
không mở rộng quá,Tiêu cực/Nhấn mạnh,Not expanding too much / extremely
không mở rộng lắm,Tiêu cực/Nhấn mạnh,Not expanding very much
không mở rộng cực kỳ,Tiêu cực/Nhấn mạnh,Not expanding extremely
không vững chắc quá,Tiêu cực/Nhấn mạnh,Not solid/firm too much / extremely
không vững chắc lắm,Tiêu cực/Nhấn mạnh,Not solid/firm very much
không vững chắc cực kỳ,Tiêu cực/Nhấn mạnh,Not solid/firm extremely
không chính xác quá,Tiêu cực/Nhấn mạnh,Not accurate too much / extremely
không chính xác lắm,Tiêu cực/Nhấn mạnh,Not accurate very much
không chính xác cực kỳ,Tiêu cực/Nhấn mạnh,Not accurate extremely
không nhanh chóng quá,Tiêu cực/Nhấn mạnh,Not rapid/quick too much / extremely
không nhanh chóng lắm,Tiêu cực/Nhấn mạnh,Not rapid/quick very much
không nhanh chóng cực kỳ,Tiêu cực/Nhấn mạnh,Not rapid/quick extremely
không kịp thời quá,Tiêu cực/Nhấn mạnh,Not timely too much / extremely
không kịp thời lắm,Tiêu cực/Nhấn mạnh,Not timely very much
không kịp thời cực kỳ,Tiêu cực/Nhấn mạnh,Not timely extremely
không nhạy bén quá,Tiêu cực/Nhấn mạnh,Not sharp/agile too much / extremely
không nhạy bén lắm,Tiêu cực/Nhấn mạnh,Not sharp/agile very much
không nhạy bén cực kỳ,Tiêu cực/Nhấn mạnh,Not sharp/agile extremely
chẳng hiệu quả quá,Tiêu cực/Nhấn mạnh,Not at all effective too much / extremely
chẳng hiệu quả lắm,Tiêu cực/Nhấn mạnh,Not at all effective very much
chẳng hiệu quả cực kỳ,Tiêu cực/Nhấn mạnh,Not at all effective extremely
chẳng phù hợp quá,Tiêu cực/Nhấn mạnh,Not at all suitable too much / extremely
chẳng phù hợp lắm,Tiêu cực/Nhấn mạnh,Not at all suitable very much
chẳng phù hợp cực kỳ,Tiêu cực/Nhấn mạnh,Not at all suitable extremely
chẳng chất lượng cao quá,Tiêu cực/Nhấn mạnh,Not at all high quality too much / extremely
chẳng chất lượng cao lắm,Tiêu cực/Nhấn mạnh,Not at all high quality very much
chẳng chất lượng cao cực kỳ,Tiêu cực/Nhấn mạnh,Not at all high quality extremely
chẳng dẫn đầu quá,Tiêu cực/Nhấn mạnh,Not at all leading too much / extremely
chẳng dẫn đầu lắm,Tiêu cực/Nhấn mạnh,Not at all leading very much
chẳng dẫn đầu cực kỳ,Tiêu cực/Nhấn mạnh,Not at all leading extremely
chẳng linh hoạt quá,Tiêu cực/Nhấn mạnh,Not at all flexible too much / extremely
chẳng linh hoạt lắm,Tiêu cực/Nhấn mạnh,Not at all flexible very much
chẳng linh hoạt cực kỳ,Tiêu cực/Nhấn mạnh,Not at all flexible extremely
chẳng chủ lực quá,Tiêu cực/Nhấn mạnh,Not at all core/pillar too much / extremely
chẳng chủ lực lắm,Tiêu cực/Nhấn mạnh,Not at all core/pillar very much
chẳng chủ lực cực kỳ,Tiêu cực/Nhấn mạnh,Not at all core/pillar extremely
chẳng vững mạnh quá,Tiêu cực/Nhấn mạnh,Not at all strong/healthy too much / extremely
chẳng vững mạnh lắm,Tiêu cực/Nhấn mạnh,Not at all strong/healthy very much
chẳng vững mạnh cực kỳ,Tiêu cực/Nhấn mạnh,Not at all strong/healthy extremely
chẳng an toàn quá,Tiêu cực/Nhấn mạnh,Not at all safe/secure too much / extremely
chẳng an toàn lắm,Tiêu cực/Nhấn mạnh,Not at all safe/secure very much
chẳng an toàn cực kỳ,Tiêu cực/Nhấn mạnh,Not at all safe/secure extremely
chẳng bền vững quá,Tiêu cực/Nhấn mạnh,Not at all sustainable too much / extremely
chẳng bền vững lắm,Tiêu cực/Nhấn mạnh,Not at all sustainable very much
chẳng bền vững cực kỳ,Tiêu cực/Nhấn mạnh,Not at all sustainable extremely
chẳng đột phá quá,Tiêu cực/Nhấn mạnh,Not at all breakthrough too much / extremely
chẳng đột phá lắm,Tiêu cực/Nhấn mạnh,Not at all breakthrough very much
chẳng đột phá cực kỳ,Tiêu cực/Nhấn mạnh,Not at all breakthrough extremely
chẳng uy tín quá,Tiêu cực/Nhấn mạnh,Not at all reputable too much / extremely
chẳng uy tín lắm,Tiêu cực/Nhấn mạnh,Not at all reputable very much
chẳng uy tín cực kỳ,Tiêu cực/Nhấn mạnh,Not at all reputable extremely
chẳng niềm tin quá,Tiêu cực/Nhấn mạnh,Not at all trust/confidence too much / extremely
chẳng niềm tin lắm,Tiêu cực/Nhấn mạnh,Not at all trust/confidence very much
chẳng niềm tin cực kỳ,Tiêu cực/Nhấn mạnh,Not at all trust/confidence extremely
chẳng tiên phong quá,Tiêu cực/Nhấn mạnh,Not at all pioneering/advanced too much / extremely
chẳng tiên phong lắm,Tiêu cực/Nhấn mạnh,Not at all pioneering/advanced very much
chẳng tiên phong cực kỳ,Tiêu cực/Nhấn mạnh,Not at all pioneering/advanced extremely
chẳng hiện đại quá,Tiêu cực/Nhấn mạnh,Not at all modern too much / extremely
chẳng hiện đại lắm,Tiêu cực/Nhấn mạnh,Not at all modern very much
chẳng hiện đại cực kỳ,Tiêu cực/Nhấn mạnh,Not at all modern extremely
chẳng tinh gọn quá,Tiêu cực/Nhấn mạnh,Not at all lean too much / extremely
chẳng tinh gọn lắm,Tiêu cực/Nhấn mạnh,Not at all lean very much
chẳng tinh gọn cực kỳ,Tiêu cực/Nhấn mạnh,Not at all lean extremely
chẳng chuyên nghiệp quá,Tiêu cực/Nhấn mạnh,Not at all professional too much / extremely
chẳng chuyên nghiệp lắm,Tiêu cực/Nhấn mạnh,Not at all professional very much
chẳng chuyên nghiệp cực kỳ,Tiêu cực/Nhấn mạnh,Not at all professional extremely
chẳng minh bạch quá,Tiêu cực/Nhấn mạnh,Not at all transparent too much / extremely
chẳng minh bạch lắm,Tiêu cực/Nhấn mạnh,Not at all transparent very much
chẳng minh bạch cực kỳ,Tiêu cực/Nhấn mạnh,Not at all transparent extremely
chẳng quyết tâm quá,Tiêu cực/Nhấn mạnh,Not at all determined too much / extremely
chẳng quyết tâm lắm,Tiêu cực/Nhấn mạnh,Not at all determined very much
chẳng quyết tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not at all determined extremely
chẳng năng động quá,Tiêu cực/Nhấn mạnh,Not at all dynamic too much / extremely
chẳng năng động lắm,Tiêu cực/Nhấn mạnh,Not at all dynamic very much
chẳng năng động cực kỳ,Tiêu cực/Nhấn mạnh,Not at all dynamic extremely
chẳng tự hào quá,Tiêu cực/Nhấn mạnh,Not at all proud too much / extremely
chẳng tự hào lắm,Tiêu cực/Nhấn mạnh,Not at all proud very much
chẳng tự hào cực kỳ,Tiêu cực/Nhấn mạnh,Not at all proud extremely
chẳng nhiệt huyết quá,Tiêu cực/Nhấn mạnh,Not at all passionate too much / extremely
chẳng nhiệt huyết lắm,Tiêu cực/Nhấn mạnh,Not at all passionate very much
chẳng nhiệt huyết cực kỳ,Tiêu cực/Nhấn mạnh,Not at all passionate extremely
chẳng yêu thích quá,Tiêu cực/Nhấn mạnh,Not at all love/like too much / extremely
chẳng yêu thích lắm,Tiêu cực/Nhấn mạnh,Not at all love/like very much
chẳng yêu thích cực kỳ,Tiêu cực/Nhấn mạnh,Not at all love/like extremely
chẳng hài lòng quá,Tiêu cực/Nhấn mạnh,Not at all satisfied too much / extremely
chẳng hài lòng lắm,Tiêu cực/Nhấn mạnh,Not at all satisfied very much
chẳng hài lòng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all satisfied extremely
chẳng vui sướng quá,Tiêu cực/Nhấn mạnh,Not at all joyful/delighted too much / extremely
chẳng vui sướng lắm,Tiêu cực/Nhấn mạnh,Not at all joyful/delighted very much
chẳng vui sướng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all joyful/delighted extremely
chẳng hạnh phúc quá,Tiêu cực/Nhấn mạnh,Not at all happy too much / extremely
chẳng hạnh phúc lắm,Tiêu cực/Nhấn mạnh,Not at all happy very much
chẳng hạnh phúc cực kỳ,Tiêu cực/Nhấn mạnh,Not at all happy extremely
chẳng tin tưởng quá,Tiêu cực/Nhấn mạnh,Not at all trustful too much / extremely
chẳng tin tưởng lắm,Tiêu cực/Nhấn mạnh,Not at all trustful very much
chẳng tin tưởng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all trustful extremely
chẳng ngưỡng mộ quá,Tiêu cực/Nhấn mạnh,Not at all admire too much / extremely
chẳng ngưỡng mộ lắm,Tiêu cực/Nhấn mạnh,Not at all admire very much
chẳng ngưỡng mộ cực kỳ,Tiêu cực/Nhấn mạnh,Not at all admire extremely
chẳng cảm kích quá,Tiêu cực/Nhấn mạnh,Not at all grateful too much / extremely
chẳng cảm kích lắm,Tiêu cực/Nhấn mạnh,Not at all grateful very much
chẳng cảm kích cực kỳ,Tiêu cực/Nhấn mạnh,Not at all grateful extremely
chẳng lạc quan quá,Tiêu cực/Nhấn mạnh,Not at all optimistic too much / extremely
chẳng lạc quan lắm,Tiêu cực/Nhấn mạnh,Not at all optimistic very much
chẳng lạc quan cực kỳ,Tiêu cực/Nhấn mạnh,Not at all optimistic extremely
chẳng an tâm quá,Tiêu cực/Nhấn mạnh,Not at all reassured too much / extremely
chẳng an tâm lắm,Tiêu cực/Nhấn mạnh,Not at all reassured very much
chẳng an tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not at all reassured extremely
chẳng thân thiện quá,Tiêu cực/Nhấn mạnh,Not at all friendly too much / extremely
chẳng thân thiện lắm,Tiêu cực/Nhấn mạnh,Not at all friendly very much
chẳng thân thiện cực kỳ,Tiêu cực/Nhấn mạnh,Not at all friendly extremely
chẳng mến khách quá,Tiêu cực/Nhấn mạnh,Not at all hospitable too much / extremely
chẳng mến khách lắm,Tiêu cực/Nhấn mạnh,Not at all hospitable very much
chẳng mến khách cực kỳ,Tiêu cực/Nhấn mạnh,Not at all hospitable extremely
chẳng hào hứng quá,Tiêu cực/Nhấn mạnh,Not at all excited too much / extremely
chẳng hào hứng lắm,Tiêu cực/Nhấn mạnh,Not at all excited very much
chẳng hào hứng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all excited extremely
chẳng phấn khởi quá,Tiêu cực/Nhấn mạnh,Not at all elated too much / extremely
chẳng phấn khởi lắm,Tiêu cực/Nhấn mạnh,Not at all elated very much
chẳng phấn khởi cực kỳ,Tiêu cực/Nhấn mạnh,Not at all elated extremely
chẳng may mắn quá,Tiêu cực/Nhấn mạnh,Not at all lucky/fortunate too much / extremely
chẳng may mắn lắm,Tiêu cực/Nhấn mạnh,Not at all lucky/fortunate very much
chẳng may mắn cực kỳ,Tiêu cực/Nhấn mạnh,Not at all lucky/fortunate extremely
chẳng vinh dự quá,Tiêu cực/Nhấn mạnh,Not at all honored too much / extremely
chẳng vinh dự lắm,Tiêu cực/Nhấn mạnh,Not at all honored very much
chẳng vinh dự cực kỳ,Tiêu cực/Nhấn mạnh,Not at all honored extremely
chẳng tuyệt vời quá,Tiêu cực/Nhấn mạnh,Not at all wonderful/excellent too much / extremely
chẳng tuyệt vời lắm,Tiêu cực/Nhấn mạnh,Not at all wonderful/excellent very much
chẳng tuyệt vời cực kỳ,Tiêu cực/Nhấn mạnh,Not at all wonderful/excellent extremely
chẳng xuất sắc quá,Tiêu cực/Nhấn mạnh,Not at all outstanding too much / extremely
chẳng xuất sắc lắm,Tiêu cực/Nhấn mạnh,Not at all outstanding very much
chẳng xuất sắc cực kỳ,Tiêu cực/Nhấn mạnh,Not at all outstanding extremely
chẳng hoàn hảo quá,Tiêu cực/Nhấn mạnh,Not at all perfect too much / extremely
chẳng hoàn hảo lắm,Tiêu cực/Nhấn mạnh,Not at all perfect very much
chẳng hoàn hảo cực kỳ,Tiêu cực/Nhấn mạnh,Not at all perfect extremely
chẳng thỏa mãn quá,Tiêu cực/Nhấn mạnh,Not at all contented/satisfied too much / extremely
chẳng thỏa mãn lắm,Tiêu cực/Nhấn mạnh,Not at all contented/satisfied very much
chẳng thỏa mãn cực kỳ,Tiêu cực/Nhấn mạnh,Not at all contented/satisfied extremely
chẳng yêu mến quá,Tiêu cực/Nhấn mạnh,Not at all beloved too much / extremely
chẳng yêu mến lắm,Tiêu cực/Nhấn mạnh,Not at all beloved very much
chẳng yêu mến cực kỳ,Tiêu cực/Nhấn mạnh,Not at all beloved extremely
chẳng trân trọng quá,Tiêu cực/Nhấn mạnh,Not at all appreciative too much / extremely
chẳng trân trọng lắm,Tiêu cực/Nhấn mạnh,Not at all appreciative very much
chẳng trân trọng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all appreciative extremely
chẳng kính trọng quá,Tiêu cực/Nhấn mạnh,Not at all respectful too much / extremely
chẳng kính trọng lắm,Tiêu cực/Nhấn mạnh,Not at all respectful very much
chẳng kính trọng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all respectful extremely
chẳng khâm phục quá,Tiêu cực/Nhấn mạnh,Not at all admirable too much / extremely
chẳng khâm phục lắm,Tiêu cực/Nhấn mạnh,Not at all admirable very much
chẳng khâm phục cực kỳ,Tiêu cực/Nhấn mạnh,Not at all admirable extremely
chẳng ấm áp quá,Tiêu cực/Nhấn mạnh,Not at all warm too much / extremely
chẳng ấm áp lắm,Tiêu cực/Nhấn mạnh,Not at all warm very much
chẳng ấm áp cực kỳ,Tiêu cực/Nhấn mạnh,Not at all warm extremely
chẳng bình yên quá,Tiêu cực/Nhấn mạnh,Not at all peaceful too much / extremely
chẳng bình yên lắm,Tiêu cực/Nhấn mạnh,Not at all peaceful very much
chẳng bình yên cực kỳ,Tiêu cực/Nhấn mạnh,Not at all peaceful extremely
chẳng vui vẻ quá,Tiêu cực/Nhấn mạnh,Not at all cheerful too much / extremely
chẳng vui vẻ lắm,Tiêu cực/Nhấn mạnh,Not at all cheerful very much
chẳng vui vẻ cực kỳ,Tiêu cực/Nhấn mạnh,Not at all cheerful extremely
chẳng ngập tràn niềm vui quá,Tiêu cực/Nhấn mạnh,Not at all joyous too much / extremely
chẳng ngập tràn niềm vui lắm,Tiêu cực/Nhấn mạnh,Not at all joyous very much
chẳng ngập tràn niềm vui cực kỳ,Tiêu cực/Nhấn mạnh,Not at all joyous extremely
chẳng khấp khởi quá,Tiêu cực/Nhấn mạnh,Not at all expectantly joyful too much / extremely
chẳng khấp khởi lắm,Tiêu cực/Nhấn mạnh,Not at all expectantly joyful very much
chẳng khấp khởi cực kỳ,Tiêu cực/Nhấn mạnh,Not at all expectantly joyful extremely
chẳng hân hoan quá,Tiêu cực/Nhấn mạnh,Not at all jubilant too much / extremely
chẳng hân hoan lắm,Tiêu cực/Nhấn mạnh,Not at all jubilant very much
chẳng hân hoan cực kỳ,Tiêu cực/Nhấn mạnh,Not at all jubilant extremely
chẳng rạng rỡ quá,Tiêu cực/Nhấn mạnh,Not at all radiant too much / extremely
chẳng rạng rỡ lắm,Tiêu cực/Nhấn mạnh,Not at all radiant very much
chẳng rạng rỡ cực kỳ,Tiêu cực/Nhấn mạnh,Not at all radiant extremely
chẳng sáng tạo quá,Tiêu cực/Nhấn mạnh,Not at all creative too much / extremely
chẳng sáng tạo lắm,Tiêu cực/Nhấn mạnh,Not at all creative very much
chẳng sáng tạo cực kỳ,Tiêu cực/Nhấn mạnh,Not at all creative extremely
chẳng đổi mới quá,Tiêu cực/Nhấn mạnh,Not at all innovative too much / extremely
chẳng đổi mới lắm,Tiêu cực/Nhấn mạnh,Not at all innovative very much
chẳng đổi mới cực kỳ,Tiêu cực/Nhấn mạnh,Not at all innovative extremely
chẳng kiên trì quá,Tiêu cực/Nhấn mạnh,Not at all persistent too much / extremely
chẳng kiên trì lắm,Tiêu cực/Nhấn mạnh,Not at all persistent very much
chẳng kiên trì cực kỳ,Tiêu cực/Nhấn mạnh,Not at all persistent extremely
chẳng bền bỉ quá,Tiêu cực/Nhấn mạnh,Not at all resilient too much / extremely
chẳng bền bỉ lắm,Tiêu cực/Nhấn mạnh,Not at all resilient very much
chẳng bền bỉ cực kỳ,Tiêu cực/Nhấn mạnh,Not at all resilient extremely
chẳng quyết liệt quá,Tiêu cực/Nhấn mạnh,Not at all drastic/fierce too much / extremely
chẳng quyết liệt lắm,Tiêu cực/Nhấn mạnh,Not at all drastic/fierce very much
chẳng quyết liệt cực kỳ,Tiêu cực/Nhấn mạnh,Not at all drastic/fierce extremely
chẳng chủ động quá,Tiêu cực/Nhấn mạnh,Not at all proactive too much / extremely
chẳng chủ động lắm,Tiêu cực/Nhấn mạnh,Not at all proactive very much
chẳng chủ động cực kỳ,Tiêu cực/Nhấn mạnh,Not at all proactive extremely
chẳng tự xin quá,Tiêu cực/Nhấn mạnh,Not at all confident too much / extremely
chẳng tự xin lắm,Tiêu cực/Nhấn mạnh,Not at all confident very much
chẳng tự xin cực kỳ,Tiêu cực/Nhấn mạnh,Not at all confident extremely
chẳng tự tin quá,Tiêu cực/Nhấn mạnh,Not at all confident too much / extremely
chẳng tự tin lắm,Tiêu cực/Nhấn mạnh,Not at all confident very much
chẳng tự tin cực kỳ,Tiêu cực/Nhấn mạnh,Not at all confident extremely
chẳng dũng cảm quá,Tiêu cực/Nhấn mạnh,Not at all brave/courageous too much / extremely
chẳng dũng cảm lắm,Tiêu cực/Nhấn mạnh,Not at all brave/courageous very much
chẳng dũng cảm cực kỳ,Tiêu cực/Nhấn mạnh,Not at all brave/courageous extremely
chẳng kiên cường quá,Tiêu cực/Nhấn mạnh,Not at all indomitable too much / extremely
chẳng kiên cường lắm,Tiêu cực/Nhấn mạnh,Not at all indomitable very much
chẳng kiên cường cực kỳ,Tiêu cực/Nhấn mạnh,Not at all indomitable extremely
chẳng nỗ lực quá,Tiêu cực/Nhấn mạnh,Not at all effort/striving too much / extremely
chẳng nỗ lực lắm,Tiêu cực/Nhấn mạnh,Not at all effort/striving very much
chẳng nỗ lực cực kỳ,Tiêu cực/Nhấn mạnh,Not at all effort/striving extremely
chẳng cố gắng quá,Tiêu cực/Nhấn mạnh,Not at all trying/endeavoring too much / extremely
chẳng cố gắng lắm,Tiêu cực/Nhấn mạnh,Not at all trying/endeavoring very much
chẳng cố gắng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all trying/endeavoring extremely
chẳng hết mình quá,Tiêu cực/Nhấn mạnh,Not at all wholehearted too much / extremely
chẳng hết mình lắm,Tiêu cực/Nhấn mạnh,Not at all wholehearted very much
chẳng hết mình cực kỳ,Tiêu cực/Nhấn mạnh,Not at all wholehearted extremely
chẳng tận tâm quá,Tiêu cực/Nhấn mạnh,Not at all dedicated too much / extremely
chẳng tận tâm lắm,Tiêu cực/Nhấn mạnh,Not at all dedicated very much
chẳng tận tâm cực kỳ,Tiêu cực/Nhấn mạnh,Not at all dedicated extremely
chẳng chu đáo quá,Tiêu cực/Nhấn mạnh,Not at all thoughtful/attentive too much / extremely
chẳng chu đáo lắm,Tiêu cực/Nhấn mạnh,Not at all thoughtful/attentive very much
chẳng chu đáo cực kỳ,Tiêu cực/Nhấn mạnh,Not at all thoughtful/attentive extremely
chẳng sẵn sàng quá,Tiêu cực/Nhấn mạnh,Not at all ready/willing too much / extremely
chẳng sẵn sàng lắm,Tiêu cực/Nhấn mạnh,Not at all ready/willing very much
chẳng sẵn sàng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all ready/willing extremely
chẳng hăng hái quá,Tiêu cực/Nhấn mạnh,Not at all enthusiastic too much / extremely
chẳng hăng hái lắm,Tiêu cực/Nhấn mạnh,Not at all enthusiastic very much
chẳng hăng hái cực kỳ,Tiêu cực/Nhấn mạnh,Not at all enthusiastic extremely
chẳng sôi nổi quá,Tiêu cực/Nhấn mạnh,Not at all lively/vibrant too much / extremely
chẳng sôi nổi lắm,Tiêu cực/Nhấn mạnh,Not at all lively/vibrant very much
chẳng sôi nổi cực kỳ,Tiêu cực/Nhấn mạnh,Not at all lively/vibrant extremely
chẳng tự lực quá,Tiêu cực/Nhấn mạnh,Not at all self-reliant too much / extremely
chẳng tự lực lắm,Tiêu cực/Nhấn mạnh,Not at all self-reliant very much
chẳng tự lực cực kỳ,Tiêu cực/Nhấn mạnh,Not at all self-reliant extremely
chẳng bứt phá quá,Tiêu cực/Nhấn mạnh,Not at all breaking through too much / extremely
chẳng bứt phá lắm,Tiêu cực/Nhấn mạnh,Not at all breaking through very much
chẳng bứt phá cực kỳ,Tiêu cực/Nhấn mạnh,Not at all breaking through extremely
chẳng kiên định quá,Tiêu cực/Nhấn mạnh,Not at all steadfast too much / extremely
chẳng kiên định lắm,Tiêu cực/Nhấn mạnh,Not at all steadfast very much
chẳng kiên định cực kỳ,Tiêu cực/Nhấn mạnh,Not at all steadfast extremely
chẳng tràn đầy năng lượng quá,Tiêu cực/Nhấn mạnh,Not at all energetic too much / extremely
chẳng tràn đầy năng lượng lắm,Tiêu cực/Nhấn mạnh,Not at all energetic very much
chẳng tràn đầy năng lượng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all energetic extremely
chẳng sục sôi quá,Tiêu cực/Nhấn mạnh,Not at all seething/burning too much / extremely
chẳng sục sôi lắm,Tiêu cực/Nhấn mạnh,Not at all seething/burning very much
chẳng sục sôi cực kỳ,Tiêu cực/Nhấn mạnh,Not at all seething/burning extremely
chẳng đồng lòng quá,Tiêu cực/Nhấn mạnh,Not at all unanimous too much / extremely
chẳng đồng lòng lắm,Tiêu cực/Nhấn mạnh,Not at all unanimous very much
chẳng đồng lòng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all unanimous extremely
chẳng nhất trí quá,Tiêu cực/Nhấn mạnh,Not at all agreed/consensus too much / extremely
chẳng nhất trí lắm,Tiêu cực/Nhấn mạnh,Not at all agreed/consensus very much
chẳng nhất trí cực kỳ,Tiêu cực/Nhấn mạnh,Not at all agreed/consensus extremely
chẳng chung sức quá,Tiêu cực/Nhấn mạnh,Not at all joining forces too much / extremely
chẳng chung sức lắm,Tiêu cực/Nhấn mạnh,Not at all joining forces very much
chẳng chung sức cực kỳ,Tiêu cực/Nhấn mạnh,Not at all joining forces extremely
chẳng vượt trội quá,Tiêu cực/Nhấn mạnh,Not at all superior too much / extremely
chẳng vượt trội lắm,Tiêu cực/Nhấn mạnh,Not at all superior very much
chẳng vượt trội cực kỳ,Tiêu cực/Nhấn mạnh,Not at all superior extremely
chẳng tối ưu quá,Tiêu cực/Nhấn mạnh,Not at all optimal too much / extremely
chẳng tối ưu lắm,Tiêu cực/Nhấn mạnh,Not at all optimal very much
chẳng tối ưu cực kỳ,Tiêu cực/Nhấn mạnh,Not at all optimal extremely
chẳng bứt tốc quá,Tiêu cực/Nhấn mạnh,Not at all accelerating too much / extremely
chẳng bứt tốc lắm,Tiêu cực/Nhấn mạnh,Not at all accelerating very much
chẳng bứt tốc cực kỳ,Tiêu cực/Nhấn mạnh,Not at all accelerating extremely
chẳng thuận lợi quá,Tiêu cực/Nhấn mạnh,Not at all favorable too much / extremely
chẳng thuận lợi lắm,Tiêu cực/Nhấn mạnh,Not at all favorable very much
chẳng thuận lợi cực kỳ,Tiêu cực/Nhấn mạnh,Not at all favorable extremely
chẳng tiềm năng quá,Tiêu cực/Nhấn mạnh,Not at all potential too much / extremely
chẳng tiềm năng lắm,Tiêu cực/Nhấn mạnh,Not at all potential very much
chẳng tiềm năng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all potential extremely
chẳng phồn vinh quá,Tiêu cực/Nhấn mạnh,Not at all prosperous too much / extremely
chẳng phồn vinh lắm,Tiêu cực/Nhấn mạnh,Not at all prosperous very much
chẳng phồn vinh cực kỳ,Tiêu cực/Nhấn mạnh,Not at all prosperous extremely
chẳng thịnh vượng quá,Tiêu cực/Nhấn mạnh,Not at all wealthy/prosperous too much / extremely
chẳng thịnh vượng lắm,Tiêu cực/Nhấn mạnh,Not at all wealthy/prosperous very much
chẳng thịnh vượng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all wealthy/prosperous extremely
chẳng khởi sắc quá,Tiêu cực/Nhấn mạnh,Not at all flourishing/improving too much / extremely
chẳng khởi sắc lắm,Tiêu cực/Nhấn mạnh,Not at all flourishing/improving very much
chẳng khởi sắc cực kỳ,Tiêu cực/Nhấn mạnh,Not at all flourishing/improving extremely
chẳng thăng tiến quá,Tiêu cực/Nhấn mạnh,Not at all advancing too much / extremely
chẳng thăng tiến lắm,Tiêu cực/Nhấn mạnh,Not at all advancing very much
chẳng thăng tiến cực kỳ,Tiêu cực/Nhấn mạnh,Not at all advancing extremely
chẳng phát triển quá,Tiêu cực/Nhấn mạnh,Not at all developing too much / extremely
chẳng phát triển lắm,Tiêu cực/Nhấn mạnh,Not at all developing very much
chẳng phát triển cực kỳ,Tiêu cực/Nhấn mạnh,Not at all developing extremely
chẳng mở rộng quá,Tiêu cực/Nhấn mạnh,Not at all expanding too much / extremely
chẳng mở rộng lắm,Tiêu cực/Nhấn mạnh,Not at all expanding very much
chẳng mở rộng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all expanding extremely
chẳng vững chắc quá,Tiêu cực/Nhấn mạnh,Not at all solid/firm too much / extremely
chẳng vững chắc lắm,Tiêu cực/Nhấn mạnh,Not at all solid/firm very much
chẳng vững chắc cực kỳ,Tiêu cực/Nhấn mạnh,Not at all solid/firm extremely
chẳng chính xác quá,Tiêu cực/Nhấn mạnh,Not at all accurate too much / extremely
chẳng chính xác lắm,Tiêu cực/Nhấn mạnh,Not at all accurate very much
chẳng chính xác cực kỳ,Tiêu cực/Nhấn mạnh,Not at all accurate extremely
chẳng nhanh chóng quá,Tiêu cực/Nhấn mạnh,Not at all rapid/quick too much / extremely
chẳng nhanh chóng lắm,Tiêu cực/Nhấn mạnh,Not at all rapid/quick very much
chẳng nhanh chóng cực kỳ,Tiêu cực/Nhấn mạnh,Not at all rapid/quick extremely
chẳng kịp thời quá,Tiêu cực/Nhấn mạnh,Not at all timely too much / extremely
